Id
Joseph Sambrook
Daniel P. Huttenlocher
Daniel M. Romero
Brendan Meeder
Martin A. Makary
Michael Daniel
Jay B. Dean
Isaac S. Kohane
Kun‐Hsing Yu
Andrew L. Beam
Kai Petersen
Robert Feldt
Shahid Mujtaba
Michael Mattsson
Sairam Vakkalanka
Ludwik Kuźniarz
Walaa Medhat
Ahmed H. Yousef
Hoda Korashy
Zdzisław Pawlak
Andrzej Skowron
Muki Haklay
Patrick Weber
Jacob Fox
Elizabeth Black
I Chronakis
Richard S. Dunlop
Patkar
Mike South
Ruth Thomson
Thomas H. Davenport
Ravi Kalakota
Abhijit Guha
Dhruv Grewal
Timna Breßgott
Zoë Slote Morris
Steven Wooding
Jonathan Grant
Naresh K. Malhotra
Sung S. Kim
James Agarwal
C. L. Philip Chen
Chun‐yang Zhang
James C. Hayton
David G. Allen
Vida Scarpello
Angela Dean
Daniel Voss
Danel Draguljić
Volker Grimm
Uta Berger
Finn Bastiansen
Sigrunn Eliassen
Vincent Ginot
Jarl Giske
J. D. Goss‐Custard
Tamara C. Grand
Simone K. Heinz
Geir Huse
Andreas Huth
Jane Uhd Jepsen
Christian Jørgensen
Wolf M. Mooij
Birgit Müller
Guy Pe’er
Cyril Piou
Steven F. Railsback
Andrew M. Robbins
Martha M. Robbins
Eva Rossmanith
Nadja Rüger
Espen Strand
Sami Souissi
Richard A. Stillman
Rune Vabø
Ute Visser
Donald L. DeAngelis
Gary Polhill
Eloy Revilla
Florian Jeltsch
Hans‐Hermann Thulke
Jacob Weiner
Thorsten Wiegand
Mark C. Urban
Greta Bocedi
Andrew P. Hendry
Jean‐Baptiste Mihoub
Alexander Singer
Jon R. Bridle
Lisa G. Crozier
Luc De Meester
William Godsoe
Andrew Gonzalez
Jessica J. Hellmann
Robert D. Holt
A. Huth
Karin Johst
Cornelia B. Krug
Paul Leadley
Steven C. Palmer
Jelena H. Pantel
Andreas Schmitz
Patrick A. Zollner
Justin M. J. Travis
Andrej Krevl
Kevin Lang
Anirban Dasgupta
Michael W. Mahoney
Rishi Bommasani
Drew A. Hudson
Ehsan Adeli
Russ B. Altman
Simran Arora
Sydney von Arx
Michael S. Bernstein
Jeannette Bohg
Antoine Bosselut
Emma Brunskill
Erik Brynjolfsson
Shyamal Buch
Dallas Card
Rodrigo Castellon
Niladri S. Chatterji
Annie Chen
Kathleen Creel
Jared Quincy Davis
Dorottya Demszky
Chris Donahue
Moussa Doumbouya
Esin Durmus
Stefano Ermon
John Etchemendy
Kawin Ethayarajh
Li Fei-Fei
Chelsea Finn
Trevor Gale
Lauren Gillespie
Karan Goel
Noah D. Goodman
Shelby Grossman
Neel Guha
Tatsunori Hashimoto
Peter Henderson
John Hewitt
Daniel E. Ho
Jenny Hong
Kyle Hsu
Jing Huang
Thomas Icard
Saahil Jain
Dan Jurafsky
Pratyusha Kalluri
Siddharth Karamcheti
Geoff Keeling
Fereshte Khani
Omar Khattab
Pang Wei Koh
Mark Krass
Ranjay Krishna
Rohith Kuditipudi
Ananya Kumar
Faisal Ladhak
Mina Lee
Tong Lee
Isabelle Levent
Xiang Lisa Li
Xuechen Li
Tengyu Ma
Ali Ahmad Malik
Christopher D. Manning
Suvir Mirchandani
Eric Mitchell
Zanele Munyikwa
Suraj Nair
Avanika Narayan
Deepak Narayanan
Benjamin T. Newman
Allen Nie
Juan Carlos Niebles
Hamed Nilforoshan
Julian Nyarko
Giray Ogut
Laurel Orr
Isabel Papadimitriou
Joon-Sung Park
Chris Piech
Eva Portelance
Christopher Potts
Aditi Raghunathan
Rob Reich
Hongyu Ren
Frieda Rong
Yusuf Roohani
Camilo Ruiz
Jack Ryan
Christopher Ré
Dorsa Sadigh
Shiori Sagawa
Keshav Santhanam
Andy Shih
Krishnan Srinivasan
Alex Tamkin
Rohan Taori
Armin W. Thomas
Rose E. Wang
William Yang Wang
Julian McAuley
Jaewon Yang
Anand Rajaraman
Jeffrey D. Ullman
Wullianallur Raghupathi
Viju Raghupathi
Andrei Broder
Ravi Kumar
Farzin Maghoul
Prabhakar Raghavan
Sridhar Rajagopalan
Raymie Stata
Janet L. Wiener
Xiao Xiang Zhu
Devis Tuia
Lichao Mou
Gui-Song Xia
Liangpei Zhang
Feng Xu
Friedrich Fraundorfer
Allison Tong
Kate Flemming
Elizabeth McInnes
Sandy Oliver
Jonathan C. Craig
Justin Grimmer
Nathan C. Shaner
Paul Steinbach
Roger Y. Tsien
Andrew Parnell
Richard Inger
Stuart Bearhop
Andrew L. Jackson
Donald L. Phillips
Jonathan W. Moore
Brice X. Semmens
Eric J. Ward
Xavier A. Harrison
Lynda Donaldson
Maria Correa-Cano
Julian Evans
David N. Fisher
Cecily Goodwin
Beth Robinson
David J. Hodgson
Craig A. Layman
Márcio S. Araújo
Ross E. Boucek
Caroline M. Hammerschlag‐Peyer
Elizabeth Harrison
Zachary R. Jud
Philip Matich
Adam Rosenblatt
Jeremy J. Vaudo
Lauren A. Yeager
David M. Post
Charles E. Bakis
Damian I. Kachlakev
Morris Schupack
P. Balaguru
Duane J. Gee
Vistasp M. Karbhari
David W. Scott
C A Ballinger
T. Russell Gentry
Howard S. Kliger
Rajan Sen
Lawrence C. Bank
A Gerritse
James Korff
Mohsen Shahawy
Karl Gillette
Michael W. Lee
Carol K. Shield
Brahim Benmokrane
William J. Gold
Ibrahim Mahfouz
Khaled Soudki
Gregg J. Blaszak
Charles H. Goodspeed
Henry N. Marsh
R. Taerwe
Gordon L. Brown
F. Grace
Orange S. Marshall
Vicki L. Brown
Mark F. Green
Houssam Toutanji
T. I. Campbell
Mark E. Greenwood
Ayman S. Mosallam
Taketo Uomoto
Charles W. Dolan
Doug Gremel
Antoine E. Naaman
Miroslav Vadovic
Michael S. Guglielmo
Antonio Nanni
David R. Vanderpool
Rami M. Elhassan
Issam E. Harik
K.W. Neale
Milan Vatovec
Salem S. Faza
Mark Henderson
Stephanie L. Walkup
Edward R. Fyfe
Bohdan N. Horeczko
Max L. Porter
David White
David M. Gale
Srinivasa L. Iyer
Sami Rizkalla
John P. Busel
Joie Ensor
Kym I E Snell
Frank E. Harrell
Glen P. Martin
Maarten van Smeden
Caroline B. Terwee
Lidwine B. Mokkink
Dirk L. Knol
Michelle E. Kiger
Lara Varpio
Brian E. Neubauer
Catherine Witkop
João Gama
Indrė Žliobaitė
Albert Bifet
Mykola Pechenizkiy
Abdelhamid Bouchachia
John P. Huelsenbeck
Fredrik Ronquist
Rasmus Nielsen
Jonathan P. Bollback
Thorfinn Sand Korneliussen
Anders Albrechtsen
Karst Geurs
Bert van Wee
Mario Hermann
Tobias Pentek
Boris Otto
Arup K. Ghose
Vellarkad N. Viswanadhan
John J. Wendoloski
Jeffrey De Fauw
Joseph R. Ledsam
Sam Blackwell
Harry Askham
Xavier Glorot
Brendan O’Donoghue
Daniel Visentin
George van den Driessche
Balaji Lakshminarayanan
Faith Mackinder
S. Miles Bouton
Kareem Ayoub
Reena Chopra
Cían Hughes
Rosalind Raine
J. Randall Hughes
Dawn A. Sim
Catherine Egan
Adnan Tufail
Hugh Montgomery
Geraint Rees
Trevor Back
Peng T. Khaw
Julien Cornebise
Pearse A. Keane
Donald J. Berndt
James Clifford
Kai Shu
Amy Sliva
Wenqi Fan
Yao Ma
Qing Li
Yuan He
Eric Zhao
Dawei Yin
Hiroshi Motoda
MacKenzie
Podsakoff
Gordon M. Cragg
David Newman
David A. Hensher
John M. Rose
William H. Greene
Jie Ma
Tao Chen
Songfeng Wu
Chunyuan Yang
Mingze Bai
Kunxian Shu
Kenli Li
Guoqing Zhang
Zhong Jin
Fuchu He
Yunping Zhu
John W. Best
James V. Kahn
Eric K. Sackmann
Anna L. Fulton
David J. Beebe
Anita Stewart
John E. Ware
Ye Deng
Yi‐Huei Jiang
Yunfeng Yang
Zhili He
Feng Luo
Jizhong Zhou
D. A. Clarke
Marvin Minsky
Alain Barrat
Marc Barthélemy
Romualdo Pastor‐Satorras
Min Chen
Shiwen Mao
Yunhao Liu
Huimin Lu
Yujie Li
Hyoung Seop Kim
Seiichi Serikawa
Luis M. Vaquero
Luis Rodero‐Merino
Juan Cáceres
Maik Lindner
Charith Perera
Arkady Zaslavsky
Peter Christen
Dimitrios Georgakopoulos
David Lewis
Yiming Yang
Tony Rose
Fan Li
William R. King
Jun He
Bogumił Jeziorski
Robert Moszyński
Krzysztof Szalewicz
Steven D. Levitt
John A. List
E. David
Kleinberg Jon
Machteld Huber
L. Green
Henriëtte van der Horst
Alejandro R. Jadad
Daan Kromhout
Barbara J. Leonard
Kate Lorig
Isabel Loureiro
J. W. M. v. d. Meer
P.-E. Schnabel
Renee Smith
Chris van Weel
Henk Smid
Manoranjan Dash
Hua Liu
Mai Pham
Andrijana Rajić
Judy Greig
Jan M. Sargeant
Andrew Papadopoulos
Scott A. McEwen
Jia Ye
Lin Fang
Hongkun Zheng
Yong Zhang
Jie Chen
Zengjin Zhang
Shengting Li
Ruiqiang Li
Lars Bolund
Jun Wang
Oludare Isaac Abiodun
Aman Jantan
Abiodun Esther Omolara
Kemi Victoria Dada
Nachaat Mohamed
Humaira Arshad
Wil M. P. van der Aalst
Arthur H. M. ter Hofstede
Bartek Kiepuszewski
Alistair Barros
Arya Adriansyah
Ana Karla Alves de Medeiros
Franco Arcieri
Thomas Baier
Tobias Blickle
Jagadeesh Chandra Bose
Peter van den Brand
Ronald Brandtjen
Joos C. A. M. Buijs
Andrea Burattin
Josep Carmona
Malú Castellanos
Jan Claes
Jonathan E. Cook
Nicola Costantini
Francisco Curbera
Ernesto Damiani
Massimiliano de Leoni
Pavlos Delias
Boudewijn F. van Dongen
Marlon Dumas
Schahram Dustdar
Dirk Fahland
Diogo R. Ferreira
Walid Gaaloul
Frank van Geffen
Sukriti Goel
Christian Günther
Antonella Guzzo
Paul Harmon
John L. Hoogland
Jon Espen Ingvaldsen
Koki Kato
Rudolf B. Kuhn
Akhil Kumar
Marcello La Rosa
Fabrizio Maria Maggi
Donato Malerba
Ronny S. Mans
Alberto Manuel
Martin McCreesh
Paola Mello
Jan Mendling
Marco Montali
Hamid Reza Motahari‐Nezhad
Michael zur Muehlen
Jorge Muñoz-Gama
Luigi Pontieri
Joël Ribeiro
A. Rozinat
Hugo Seguel Pérez
R.E. Seguel Pérez
Marcos Sepúlveda
Jim Sinur
Pnina Soffer
Minseok Song
Alessandro Sperduti
Giovanni Stilo
Casper Stoel
Keith D. Swenson
Maurizio Talamo
Wei Tan
Christopher Turner
Jan Vanthienen
George Varvaressos
Eric Verbeek
Marc Verdonk
Roberto Vigo
Jianmin Wang
Barbara Weber
Matthias Weidlich
Ton Weijters
Lijie Wen
Michael Westergaard
Moe Thandar Wynn
Joachim Herbst
Laura Măruşter
Guido Schimm
A.J.M.M. Weijters
Detmar W. Straub
David Gefen
Ralph J. DeBerardinis
Navdeep S. Chandel
Ryszard S. Michalski
Jaime G. Carbonell
Thomas M. Mitchell
Philip Ewels
Alexander Peltzer
Sven Fillinger
Harshil Patel
Johannes Alneberg
Andreas Wilm
M. Garcia
Paolo Di Tommaso
Sven Nahnsen
Felix Mölder
Kim Philipp Jablonski
Brice Letcher
Michael B. Hall
Vanessa Sochat
Jan Förster
Sven Twardziok
Alexander Kanitz
Manuel Holtgrewe
Sven Rahmann
Anna L. Buczak
Erhan Guven
Fons J. R. van de Vijver
Kwok Leung
Hans-Georg Beyer
Hans–Paul Schwefel
Hans von Storch
Francis W. Zwiers
Maria Halkidi
Yannis Batistakis
Michalis Vazirgiannis
Venkat Venkatasubramanian
Raghunathan Rengaswamy
Kewen Yin
Surya N. Kavuri
Tore Dybå
Torgeir Dingsøyr
Pat Bazeley
Kristi Jackson
Walter Cullen
Kenneth J. Reimer
José A. Moral-Muñoz
Antonio Santisteban‐Espejo
Jack G. Caton
Tord Berglundh
Iain Chapple
Søren Jepsen
Kenneth S. Kornman
Brian L. Mealey
Panos N. Papapanou
Mariano Sanz
Maurizio S. Tonetti
Jane L. Peterson
Susan Garges
Pamela McInnes
Lu Wang
Jeffery A. Schloss
Jean E. McEwen
Kris A. Wetterstrand
T. Kevin Howcroft
Robert W. Karp
R. Dwayne Lunsford
Christopher Wellington
Michael Wright
Hagit David
Melody Mills
Rachelle Salomon
Christopher Mullins
Beena Akolkar
Cindy D. Davis
Lindsey Grandison
Michael C. Humble
Jag Khalsa
A. Roger Little
Hannah Peavy
Carol H. Pontzer
Matthew E. Portnoy
Michael H. Sayre
Pamela Starke‐Reed
Samir Zakhari
Jennifer Read
Bracie Watson
Brian Babcock
Shivnath Babu
Mayur Datar
Rajeev Motwani
Jennifer Widom
Abhinandan Das
Ashutosh Garg
Shyam Rajaram
Gurmeet Singh Manku
Alexander Pak
Patrick Paroubek
U. Benz
Peter Hofmann
G. Willhauck
Iris Lingenfelder
Markus Heynen
Thomas Blaschke
Geoffrey J. Hay
Maggi Kelly
Stefan Lang
Elisabeth A. Addink
Raul Queiroz Feitosa
F.D. van der Meer
H.M.A. van der Werff
Frieke Van Coillie
Dirk Tiede
Efraim Turban
Jay E. Aronson
Frank E. Koehn
Guy T. Carter
Mary Ellen Wewers
Nancy K. Lowe
Deborah R. Winter
Ben Vinegar
Hardeep K. Nahal-Bose
Ron Ammar
Greg Wilson
Nicholas J. Provart
J. P. HUGHES
S. Rees
S. Barret Kalindjian
K.L. Philpott
Janet Piñero
Álex Bravo
Núria Queralt-Rosiñach
Alba Gutiérrez‐Sacristán
Jordi Deu-Pons
Emilio Centeno
Javier Garcı́a-Garcı́a
Ferrán Sanz
Laura I. Furlong
Juan Manuel Ramírez‐Anguita
Josep Saüch-Pitarch
Francesco Ronzano
Anna Bauer‐Mehren
Martín Baron
Mohamed Hashem
Ibrar Yaqoob
Nor Badrul Anuar
Salimah Mokhtar
Abdullah Gani
Samee U. Khan
Richard J. Bolton
Nicolae Bârsan
Udo Weimar
Jie Xu
Benjamin S. Glicksberg
Chang Su
Peter Walker
Jiang Bian
Brett Williams
Andrys Onsman
Ted Brown
Luciano da Fontoura Costa
Francisco A. Rodrigues
Gonzalo Travieso
Paulino Ribeiro Villas-Boas
Surajit Chaudhuri
Umeshwar Dayal
Irene Korstjens
Albine Moser
James G. Carrier
David Bloor
David Payne
Michael N. Gwynn
David Holmes
David L. Pompliano
Paul C. Lambert
Ghada Abo-Zaid
Paul E. Green
V. Srinivasan
Óscar D. Lara
Miguel A. Labrador
Andrea Esuli
Fabrizio Sebastiani
Maria Irene Bellini
Sotiris Charalampidis
Paul Herbert
Vasileios Bonatsos
Jeremy Crane
Anand Muthusamy
Frank J. M. F. Dor
Vassilios Papalois
Hans Oh
Carlos Rizo-Maestre
Murray Enkin
John Powell
Claudia Pagliari
Gerald T. Ankley
Richard S. Bennett
Russell J. Erickson
Dale J. Hoff
Michael W. Hornung
Rodney D. Johnson
David R. Mount
John W. Nichols
Christine L. Russom
Patricia K. Schmieder
Jose A. Serrrano
Joseph E. Tietge
Daniel L. Villeneuve
J. A. Bondy
U. S. R. Murty
Mark Aldenderfer
Roger K. Blashfield
Younghwa Lee
Kenneth A. Kozar
Kai R. Larsen
César G. Victora
Sharon Huttly
Sandra Cristina Pereira Costa Fuchs
Maria Teresa Anselmo Olinto
Alexander S. Hauser
Misty M. Attwood
Mathias Rask‐Andersen
Helgi B. Schiöth
David E. Gloriam
Youngjin Yoo
Ola Henfridsson
Kalle Lyytinen
Richard J. Boland
Ann Majchrzak
David Tilson
Carsten Sørensen
Gregory B. Gloor
Jean M. Macklaim
Vera Pawlowsky‐Glahn
Juan José Egozcue
Jennifer Brunet
Michael Chaiton
Gisèle Contreras
Catherine M. Sabiston
Tracie A. Barnett
Jennifer O’Loughlin
Nancy Low
Sandra Dı́az
Unai Pascual
Marie Stenseke
Berta Martín‐López
Robert T. Watson
Zsolt Molnár
Rosemary Hill
Kai M. A. Chan
Ivar Baste
Kate A. Brauman
Stephen Polasky
Andrew Church
Mark Lonsdale
Anne Larigauderie
Alexander P.E. van Oudenhoven
Felice van der Plaat
Matthias Schröter
Sandra Lavorel
Yildiz Aumeeruddy‐Thomas
Elena Bukvareva
Kirsten Davies
Sebsebe Demissew
Günay Erpul
Pierre Failler
Carlos A. Guerra
Chad L. Hewitt
Hans Keune
Sarah Lindley
Yoshihisa Shirayama
J. Wolfert
Lan Ge
C.N. Verdouw
M.J. Bogaardt
Josh Lerner
Jean Tirole
Donald A. Norman
Daniel G. Bobrow
Rick Robinson
Mathias Uhlén
Per Oksvold
Linn Fagerberg
Emma Lundberg
Kalle Jonasson
Mattias Forsberg
Martin Zwahlen
Caroline Kampf
Kenneth Wester
Sophia Hober
Henrik Wernérus
Lisa Björling
Fredrik Pontén
Quan Wang
Zhendong Mao
Bin Wang
Li Guo
Antonio Torralba
Alexei A. Efros
Xindong Wu
Xingquan Zhu
Gongqing Wu
Wei Ding
Supriya Khedkar
Alejandro Germán Frank
Lucas Santos Dalenogare
Néstor Fabián Ayala
Baofeng Jia
Amogelang R. Raphenya
Brian Alcock
Nicholas Waglechner
Peiyao Guo
Kara K. Tsang
Briony A. Lago
Biren M. Dave
Sheldon K. Pereira
Arjun Sharma
Sachin Doshi
Mélanie Courtot
Raymond Lo
Laura E. Williams
Jonathan G. Frye
Tariq Elsayegh
Daim Sardar
Erin L. Westman
A Pawłowski
Timothy A. Johnson
Fiona S. L. Brinkman
Gerard D. Wright
Andrew G. McArthur
Ronald E. Miller
Peter D. Blair
Κωνσταντίνος Λιάκος
Patrizia Busato
Dimitrios Moshou
Simon Pearson
Dionysis Bochtis
Gene Rowe
George Wright
Ron Bradfield
George Burt
George Cairns
Ferdinand van der Heijden
Linus Dahlander
David Gann
Terrance J. Quinn
Richard B. Deriso
Amy Kind
William R. Buckingham
Alan L. Harvey
RuAngelie Edrada‐Ebel
Ronald J. Quinn
Gail M. Sullivan
Anthony R. Artino
Kaustav Bera
Kurt A. Schalper
David L. Rimm
Vamsidhar Velcheti
Brenden M. Lake
Tomer Ullman
Joshua B. Tenenbaum
Samuel J. Gershman
Charles Kemp
Thomas L. Griffiths
Francis Fukuyama
Robert Axelrod
Robert Jervis
Katharine Z. Coyte
Jonas Schlüter
Kevin R. Foster
D. P. Landau
Kurt Binder
Paul E. Plsek
Trisha Greenhalgh
Richard Peacock
Jeremy Howick
Neal Maskrey
Geoff Wong
Gill Westhorp
Jeanette Buckingham
Ray Pawson
Shaoxiong Ji
Shirui Pan
Erik Cambria
Pekka Marttinen
Benjamin C. M. Fung
Ke Wang
Rui Chen
Chuan Shi
Yitong Li
Jiawei Zhang
Yizhou Sun
Nigel Gilbert
Klaus G. Troitzsch
Gregory Shaffer
Charles Quincy
Jordan Osserman
Kjeld Møller Pedersen
Hsin‐Kai Wu
Silvia Wen‐Yu Lee
Hsin‐Yi Chang
Jyh‐Chong Liang
David J. Ketchen
Christopher L. Shook
Nicholas D. Lane
Emiliano Miluzzo
Hong Lu
Daniel Peebles
Tanzeem Choudhury
Andrew T. Campbell
Jobie Budd
Benjamin S. Miller
Erin Manning
Vasileios Lampos
Mengdie Zhuang
Michael Edelstein
Vincent C. Emery
Molly M. Stevens
Neil Keegan
Michael Short
Deenan Pillay
Ed Manley
Ingemar J. Cox
Dominique Heymann
Margaret Johnson
Rachel A. McKendry
Rachna Shah
Peter T. Ward
Sean Marston
Zhi Li
Subhajyoti Bandyopadhyay
Juheng Zhang
Anand Ghalsasi
Ralph Weissleder
Mikaël J. Pittet
Charles R. Farrar
Keith Worden
Jerry J. Czarnecki
Hoon Sohn
François Hemez
Ian H. Langford
Thorsten May
Kenneth W. Witwer
Edit I. Buzás
Lynne Bemis
Adriana Bora
Cecilia Lässer
Jan Lötvall
Esther N. Nolte‐‘t Hoen
Melissa Piper
Sarada Sivaraman
Johan Skog
Clotilde Théry
Marca H. M. Wauben
Fred H. Hochberg
Joshua A Welsh
Deborah C. I. Goberdhan
Lorraine O’Driscoll
Cherie Blenkiron
Benedetta Bussolati
Houjian Cai
Dolores Di Vizio
Tom A. P. Driedonks
Uta Erdbrügger
Juan Manuel Falcón‐Pérez
Qing‐Ling Fu
Andrew F. Hill
Metka Lenassi
Sai Kiang Lim
Mỹ G. Mahoney
Sujata Mohanty
Andreas Möller
Rienk Nieuwland
Takahiro Ochiya
Susmita Sahoo
Ana Claúdia Torrecilhas
Lei Zheng
Andries Zijlstra
Sarah Abuelreich
Reem Bagabas
Paolo Bergese
Esther Bridges
Marco Brucale
Dylan Burger
Randy P. Carney
Emanuele Cocucci
Rossella Crescitelli
Edveena Hanser
Adrian L. Harris
Norman J. Haughey
An Hendrix
Kimberley L. Alexander
Tijana Jovanović‐Talisman
Nicole A. Kruh‐Garcia
Vera Faustino
Diego Kyburz
Kathleen M. Lennon
Adam L. Maddox
Elena S. Martens‐Uzunova
Rachel R. Mizenko
Lauren A. Newman
Andrea Ridolfi
Eva Rohde
Tatu Rojalin
Andrew Rowland
András Saftics
Ursula S. Sandau
Julie A. Saugstad
Faezeh Shekari
Simon Swift
Dmitry Ter‐Ovanesyan
Juan Pablo Tosar
Zivile Useckaite
Francesco Valle
Zoltán Varga
Edwin van der Pol
Martijn J. C. van Herwijnen
Ann M. Wehman
S Williams
Andrea Zendrini
Alan Zimmerman
Jan Van Deun
Pieter Mestdagh
Patrizia Agostinis
Özden Akay
Sushma Anand
Jasper Anckaert
Zoraida Andreu Martínez
Tine Baetens
Els Beghein
Laurence Bertier
Geert Berx
Janneke Boere
Stephanie Boukouris
Michel Bremer
Dominik Buschmann
James Brian Byrd
Clara Casert
Lesley Cheng
Anna Cmoch
Delphine Daveloose
Eva De Smedt
Şeyma Demirsoy
Victoria Depoorter
Bert Dhondt
Aleksandra M. Dudek
Abdou ElSharawy
Ilaria Floris
Andrew D. Foers
Kathrin Gärtner
Abhishek D. Garg
Edward Geeurickx
Jan Gettemans
Farzaneh Ghazavi
Bernd Giebel
Tom Groot Kormelink
Grace Hancock
Hetty Helsmoortel
Vincent Hyenne
Hina Kalra
David Kim
Joanna Kowal
Sandra Kraemer
Petra Leidinger
Carina Leonelli
Yaxuan Liang
Lien Lippens
Shu Liu
Alessandra Lo Cicero
Shaun Martin
Suresh Mathivanan
Prabhu Mathiyalagan
Tamás Matusek
Gloria Milani
Marta Tortajada
Liselot Mus
Dillon C. Muth
Andrea H. Németh
Esther N. M. Nolte‐’t Hoen
Roberta Palmulli
Michael W. Pfaffl
Bjarke Primdal-Bengtson
Erminia Romano
Quentin Rousseau
Natália G. Sampaio
Monisha Samuel
Benjamin J. Scicluna
Bieke Soen
Anneleen Steels
Johannes V. Swinnen
Maarit Takatalo
Safia Thaminy
Joeri Tulkens
Isabel Van Audenhove
Susanne van der Grein
Alan Van Goethem
Guillaume van Niel
Nadine Van Roy
Alexander R. van Vliet
Niels Vandamme
Suzanne Vanhauwaert
Glenn Vergauwen
Frederik J. Verweij
Annelynn Wallaert
Marijke I. Zonneveld
Olivier De Wever
Jo Vandesompele
Rebecca DerSimonian
Nan M. Laird
Avital Cnaan
Peter Slasor
David R. Kanis
Mark A. Ratner
Tobin J. Marks
Laurence G. Grimm
Paul R. Yarnold
David L. Streiner
Geoffrey R. Norman
John Cairney
Alessio Botta
Walter de Donato
Valerio Persico
Antonio Pescapé
Pearl Brereton
Barbara Kitchenham
David Budgen
Mark Turner
Mohamed Bakr Khalil
Shari Lawrence Pfleeger
Lesley M. Pickard
Peter W. Jones
Khaled El Emam
Jarrett Rosenberg
Rialette Pretorius
O. Pearl Brereton
Mahmood Niazi
Stephen Linkman
Robin K. Henson
J. Kyle Roberts
Hyunyoung Choi
Hal R. Varian
Daniel S. Nagin
Candice L. Odgers
H. H. Horowitz
G. Metzger
Michael Pencina
Ralph B. D’Agostino
Ewout W. Steyerberg
Brent Mittelstadt
Patrick Allo
Mariarosaria Taddeo
Sandra Wachter
Luciano Floridi
Guang‐Zhong Yang
Jim Bellingham
Pierre E. Dupont
Peer Fischer
Robert J. Full
Neil Jacobstein
Marcia McNutt
Robert Merrifield
Bradley J. Nelson
Brian Scassellati
Russell H. Taylor
Manuela Veloso
Zhong Lin Wang
Robert J. Wood
Cameron D. Norman
Harvey A. Skinner
EJD
Alan Agresti
Barbara Finlay
Catherine E. Grueber
Shinichi Nakagawa
Rebecca Laws
Ian G. Jamieson
Jessica Gurevitch
Julia Koricheva
Gavin Stewart
Charles H. Hennekens
Julie E. Buring
Sherry L. Mayrent
S. N. Dorogovt︠s︡ev
J. F. F. Mendes
Katie Seaborn
Deborah I. Fels
Mudambi
Schuff
Harry T. Lawless
Hildegarde Heymann
Pedro Domingos
Geoff Hulten
Matthew Richardson
Robert T. McGibbon
Kyle A. Beauchamp
Matthew P. Harrigan
Christoph Klein
Jason Swails
Carlos X. Hernández
Christian R. Schwantes
Lee‐Ping Wang
Thomas J. Lane
Vijay S. Pande
Wouter de Nooy
Andrej Mrvar
Vladimir Batagelj
R. Webster
Margaret A. Oliver
Hanan Samet
Sarah Crowe
Kathrin Cresswell
Ann Robertson
Guro Huby
Anthony Avery
Aziz Sheikh
Hein Putter
Marta Fiocco
Ronald B. Geskus
Donald B. Percival
Andrew T. Walden
Asaph Azaria
Ariel Ekblaw
Thiago Augusto Vieira
Andrew Lippman
Ruth Reed
Kurt Lewin
Shanika L. Amarasinghe
Shian Su
Xueyi Dong
Luke Zappia
Matthew E. Ritchie
Quentin Gouil
Charles M. Judd
Ryan A. Rossi
Nesreen K. Ahmed
Bruno Domon
Ruedi Aebersold
David R. Goodlett
Paola Picotti
Yehudit Hasin-Brumshtein
Marcus M. Seldin
Aldons J. Lusis
Gary A. Churchill
David Airey
Hooman Allayee
Joe M. Angel
Alan Attie
J. Thomas Beatty
William D. Beavis
John K. Belknap
Beth Bennett
Wade H. Berrettini
André Bleich
Molly A. Bogue
Karl W. Broman
Kari J. Buck
Edward S. Buckler
Margit Burmeister
Elissa J. Chesler
James M. Cheverud
Steven J. Clapcote
Melloni N. Cook
Roger Cox
John C. Crabbe
Wim E. Crusio
Ariel Darvasi
Christian F. Deschepper
R. W. Doerge
Charles R. Farber
Jiřı́ Forejt
Daniel P. Gaile
Steven J. Garlow
Hartmut Geiger
Howard K. Gershenfeld
Terry Gordon
Jing Gu
Weikuan Gu
Gerald de Haan
Nancy L. Hayes
Craig Heller
Heinz Himmelbauer
Robert Hitzemann
Kent W. Hunter
Hui-Chen Hsu
Fuad A. Iraqi
Boris Ivandic
Howard J. Jacob
Ritsert C. Jansen
Karl J. Jepsen
Dabney K. Johnson
Thomas E. Johnson
Gerd Kempermann
Christina Kendziorski
Malak Kotb
R. Frank Kooy
Bastien Llamas
Frank Lammert
Jean‐Michel Lassalle
Pedro R. Löwenstein
Lu Lu
Kenneth F. Manly
Ralph Marcucio
Doug Matthews
Juan F. Medrano
Darla R. Miller
Guy Mittleman
Beverly A. Mock
Jeffrey S. Mogil
Xavier Montagutelli
Grant Morahan
D.G. Morris
Richard Mott
Joseph H. Nadeau
Hiroki Nagase
Richard S. Nowakowski
Bruce F. O’Hara
А. В. Осадчук
Grier P. Page
Beverly Paigen
Kenneth Paigen
Abraham A. Palmer
Huei-Ju Pan
Leena Peltonen-Palotie
Jeremy L. Peirce
Daniel Pomp
Michal Pravenec
Daniel R. Prows
Zhonghua Qi
Roger H. Reeves
John Roder
Glenn D. Rosen
Eric E. Schadt
Leonard C. Schalkwyk
Ze’ev Seltzer
Kazuhiro Shimomura
Siming Shou
Mikko J. Sillanpää
Linda D. Siracusa
Hans-Willem Snoeck
Jimmy L. Spearow
Karen L. Svenson
Matteo Cinelli
Alessandro Galeazzi
Carlo Michele Valensise
Emanuele Brugnoli
Ana Lucía Schmidt
Paola Zola
Jesper E. van Engelen
Holger H. Hoos
Pantelis Linardatos
Vasilis Papastefanopoulos
Sotiris Kotsiantis
Nancy Gordon
